weight of input layer
0th node's weight,-0.694582,0.266432,-0.764553,0.762244,0.0473507,-0.520185,0.441497,-0.726336,-0.37592,-0.377974,0.973982,-0.484355,-0.668428,-0.0719159,-0.592194,0.355728,0.174315,0.614474,0.350961,-0.613895,0.0657053,-0.892531,-0.138477,0.574286,-0.940107,0.768313,0.26901,0.36008,-0.033616,-0.725783,-0.653477,0.563633,-0.96741,-0.396979,-0.98268,-0.84391,0.228508,0.905401,-0.216891,-0.379582,0.459459,-0.921299,-0.913284,-0.689053,-0.459316,-0.606222,0.793002,0.583382,-0.318238,0.34689,-0.499366,-0.662052,0.689951,0.267726,-0.0481,0.512385,-0.820158,-0.853471,-0.280668,0.694263,-0.399609,-1.09358,-0.281259,0.500313,0.725147,-0.741086,-0.436544,0.562465,-0.011856,-0.0897699,0.741047,-0.193349,0.861685,-0.717818,0.758018,0.0580624,0.681357,0.547799,0.309517,-0.832186,0.933869,0.116431,0.974698,-0.493567,0.0408885,-0.580618,0.776682,-0.966605,-0.255563,-0.240946,0.428578,-0.284178,0.236468,-0.126989,-0.325406,0.148393,0.0425177,-0.563603,0.587604,-0.806798,
1th node's weight,-0.820897,-1.01927,0.277344,0.106909,-0.865004,-0.967108,0.180766,0.796734,0.749133,-0.41972,0.468372,-0.423726,1.02131,0.717683,0.308286,-0.0758056,-0.497433,0.57985,0.423255,0.548001,0.0468912,0.949551,-0.158018,0.44964,0.226334,-0.602935,-0.17019,-0.942193,-0.72836,0.811935,-0.699648,-0.493606,1.03835,0.489119,-0.132292,-0.690296,-0.162512,-0.398375,-0.81826,0.52738,-0.842271,-0.0544796,-0.606309,-0.372763,0.905009,0.782332,1.02171,-0.382215,-0.506646,-0.35778,-0.643497,0.955128,-0.0308204,0.954673,-0.380809,0.585034,0.732847,0.607204,-0.0493518,0.426022,-0.362093,-0.683709,-0.608361,0.540404,-0.0863859,0.232791,1.02789,-0.793533,-0.763766,0.413728,-0.068212,0.716834,-0.64611,0.649289,-0.940137,-0.601086,-0.368026,-0.619936,-0.790647,-0.924858,-0.301582,-0.655472,0.145869,0.621422,0.790826,0.500538,-0.852301,-0.2466,-0.0759412,-0.0256418,0.523857,0.230981,-0.584384,-0.638957,0.609389,-0.327812,-0.304776,-0.573639,0.510018,0.571197,
2th node's weight,0.278461,-0.714624,-0.238851,-0.112543,-0.58677,-1.1262,0.46172,-0.508026,0.588342,-0.933767,-0.484034,0.182519,-0.841258,0.437975,-0.283534,0.450073,-0.556765,-0.0114973,-0.0253188,0.35393,0.00625614,0.107595,0.173545,0.0408331,0.239571,0.821459,-0.318764,-0.506545,-0.897661,0.246669,0.22726,0.893775,-0.704986,-0.721765,0.362689,0.829912,0.912085,-0.448236,0.33388,-0.396134,0.802221,-0.971515,0.654551,-0.238311,0.417983,-0.128123,-0.0887839,-0.240896,-0.088369,-0.0879185,-0.0427271,0.0758117,0.413269,0.233818,-0.31975,-0.116639,-0.996879,0.525786,0.916817,-0.297755,-0.505809,-0.385762,-0.22426,0.0127461,0.34855,-0.43813,-0.932359,0.600986,-0.630481,-0.985633,0.39111,0.648852,-0.604576,-0.351205,0.225316,0.348536,-0.521904,0.6013,0.970011,-0.31501,0.302892,0.76913,0.364109,0.511389,0.81023,-0.764003,0.958441,0.338708,-0.475315,-0.655292,0.00698802,0.295671,-0.903506,0.32245,0.347543,-0.221793,-0.598758,-0.00497506,0.016566,-0.568159,
3th node's weight,-0.358566,-0.935376,0.763916,0.849468,-0.274967,0.282455,0.215056,0.485802,0.760418,0.487545,0.53766,-0.569051,0.127412,-0.362247,-0.909633,-0.306388,-0.563718,0.00481407,0.492088,-0.32182,0.317523,-0.190124,0.128988,-0.241414,-0.458778,0.800759,0.638818,-0.65275,-0.188462,0.0455365,-0.948586,-0.137018,-0.243593,0.933908,0.660215,-0.522783,-0.513143,-0.327954,-0.956395,-0.724034,0.467857,-0.747008,0.39422,-0.225579,-0.58997,-0.506525,-0.459077,0.0470506,-0.125235,-0.885927,0.160436,0.895393,-0.657093,0.0188746,0.132053,0.0415486,0.640232,-0.278826,0.198298,0.370604,0.236001,0.281434,-0.642804,0.00194286,-1.02939,-0.147053,-0.211833,-0.393774,-0.422757,0.903747,-0.11914,0.0622867,-0.489718,0.143777,-0.668602,-0.879969,0.202196,0.969808,-0.194058,0.935316,0.226848,0.567367,0.385071,0.864336,-0.258391,0.614052,0.816625,0.0161522,-0.461996,-0.611118,-0.602608,0.838151,-0.136038,0.930478,-0.208097,0.607413,0.882502,0.297831,-0.442198,-0.494776,
4th node's weight,0.34802,0.377932,0.650823,-0.513016,-0.362303,0.940418,0.26193,0.281441,-0.67952,-0.595243,0.292109,-0.372317,0.862463,0.406604,-0.30715,-0.837163,-0.0401034,0.639395,-0.588653,-0.655754,0.14498,0.277891,-0.641992,0.368349,-0.547372,-0.298881,0.637083,-0.113018,-0.463065,-0.222855,-0.501944,-0.959193,0.803378,-0.792253,0.947175,-0.951582,-0.243592,-0.463807,0.969697,-0.406093,-0.276928,-0.637527,-0.584984,0.752007,-0.878648,0.588546,-0.0104924,-0.429747,-0.637237,-0.0341715,-0.848931,-0.940085,0.9138,0.93211,-0.749543,0.894418,0.933838,0.0163095,0.696808,0.297689,0.311674,0.951843,0.196269,-0.494165,-0.519346,0.620944,0.572075,0.107506,0.00122029,0.285516,0.359253,-0.308094,-0.144257,-0.360293,0.756912,-0.225518,-0.90517,0.490043,-0.608624,0.341246,-0.0383565,0.00445143,-0.843564,0.552657,-0.191567,0.813946,-0.696383,-0.0483153,-0.601462,-0.553953,-0.0172819,-0.400021,0.139679,-0.335259,-0.365698,0.486776,-0.693145,0.790512,0.0987661,-0.301363,
5th node's weight,0.160162,-0.254436,0.843136,-0.539023,-0.907345,-0.306825,0.760029,-0.0860617,0.714707,0.370984,-0.815338,0.15711,0.479781,0.450403,-0.235947,0.249535,0.00312823,-0.618324,0.357766,-0.64882,0.332887,0.174946,-0.70518,-0.0586635,0.917371,0.678925,0.506442,0.822072,0.666201,-0.695545,0.913894,-0.409336,-0.118074,0.387649,0.831834,0.99484,-0.710835,0.651943,0.554411,0.213415,-0.229507,0.610447,0.461137,-0.961749,-0.180653,0.314569,0.272923,0.24935,0.764084,0.636019,-0.905731,-0.685612,-0.191406,-0.0184641,0.0824812,0.464413,0.976219,0.172451,-0.907082,0.344328,-0.393892,0.902785,-0.178905,-0.462531,0.787546,0.466721,-0.296428,0.240307,0.760354,0.618208,0.532224,0.711048,-0.375939,0.687764,-0.336893,-0.929739,0.111951,-0.739277,-0.656836,-0.03466,-0.0372749,-0.0161185,0.0855553,0.413914,0.6559,0.461963,0.307845,0.947234,0.620799,0.38528,-0.680356,-0.0663595,0.137734,-0.898367,0.316347,0.373883,-0.3117,-0.172978,0.0236088,0.04754,
6th node's weight,-0.659851,-0.434396,0.778926,0.804654,0.723957,-0.805358,0.842501,-0.045598,-0.175991,0.0233247,0.775386,0.254746,0.476832,0.766732,-0.605137,-0.425087,-1.00001,-0.509176,-0.0105487,-0.123907,-0.596406,0.549276,0.307243,0.393524,-0.101083,0.72511,0.173089,0.912682,0.12474,0.129786,0.58671,-0.815256,-0.190191,-0.727432,-0.803395,0.705647,-0.954095,0.955382,-0.651652,-0.333174,-0.701324,0.070315,-0.705275,-0.852548,-0.887365,0.142081,-0.379593,-0.33016,0.641101,-0.710194,-0.687402,-0.0382741,-0.471259,0.59169,-0.390719,0.148466,0.350705,-0.923074,0.318491,-0.2324,0.175868,-0.311571,-0.599675,-0.468642,0.207939,-0.499858,-0.823047,-0.833906,-0.179847,0.384988,-0.602132,-0.413463,0.251945,0.195796,-0.288504,0.456473,0.714449,0.456746,0.852207,-0.0102163,0.844274,0.0723681,0.561564,-0.709996,0.696421,0.492648,-0.609615,0.511228,0.27493,0.442284,-0.622641,-0.885974,-0.140991,0.887217,-0.566593,-0.432226,-0.115133,-0.451532,0.291315,0.386328,
7th node's weight,0.21969,0.0478326,0.601938,-0.47763,0.333388,-0.638817,-0.649529,-0.0383403,0.183284,0.518691,-0.636048,0.688144,0.291386,0.703866,0.969084,-0.968447,0.600884,-0.6305,0.525782,-0.954273,0.214519,0.334778,-1.00106,0.349139,0.721712,-0.840036,0.658469,0.436246,-0.420942,-0.128241,-0.322604,-0.870409,0.787264,0.261783,-0.250438,0.620513,0.33293,-0.913325,0.118241,-0.975242,0.389831,0.415238,-0.671862,0.249297,-0.690983,-0.61065,0.387669,-0.81919,0.342816,0.548175,-0.918868,0.0848857,0.00466512,0.0557738,-0.779762,0.289121,0.716076,-0.198377,0.123591,0.498073,0.112024,0.200786,0.49258,-0.407827,-0.106485,-0.822862,-0.878525,-0.472401,-0.520507,-0.621196,-0.365091,0.426416,-0.447006,0.88144,0.176397,-0.838734,0.1746,-0.295468,0.687628,-0.127124,0.763001,0.77375,-0.949119,0.437083,0.924679,0.321388,0.34377,-0.684462,0.613271,-0.474564,-0.927003,-0.505667,0.115257,0.85415,0.178246,0.240343,-0.560167,-0.20749,0.0170758,0.448132,
8th node's weight,-0.624373,-0.248041,-0.946881,0.198617,-0.456746,0.175429,0.33592,0.292769,0.928512,-0.315922,-0.519976,-0.450397,0.432583,-0.69156,-0.210143,-0.103474,-0.464439,0.309263,0.556248,0.155491,0.436206,-0.389575,0.125128,-0.223786,-0.124263,-0.192249,-0.872197,0.40836,0.0354909,-0.0210954,0.88358,0.372966,0.919509,-0.408705,0.168396,-0.180581,0.0220302,-0.17642,-0.748998,0.119984,0.272224,0.363134,0.270757,-0.892184,-0.26021,-0.635336,-0.6162,0.217713,-0.116251,0.847758,0.870962,-0.13082,-0.402294,0.61679,-0.314118,-0.0974574,0.418891,0.353532,-0.876904,0.00883271,-0.0239633,-0.0042065,-0.0570546,0.341295,0.10884,-0.234179,-0.640157,-0.641621,-0.164821,-0.701725,0.620041,0.61643,-0.746225,-0.979524,-0.212844,0.674988,0.174204,0.474168,-0.435826,-0.677676,-0.97804,0.425956,0.453851,-0.0929707,0.0690917,-0.933057,-0.195793,0.170637,-0.439058,0.479845,-0.348485,-0.261152,-0.853636,0.347934,0.615811,-0.858829,0.694425,0.0933397,-0.637236,0.193287,
9th node's weight,0.28066,-0.923458,0.364549,-0.774656,0.993665,-0.771388,0.628204,-0.165678,-0.765383,0.511884,0.942838,0.354023,-0.976747,0.258781,0.956704,0.93314,0.855863,1.12097,0.725276,0.157122,0.41748,0.359783,-0.159375,0.521271,0.315718,-0.219775,0.555437,0.741479,0.905852,-0.132082,-0.188035,0.182683,0.352613,-0.572802,0.614773,-0.938259,-0.00301387,-0.440074,-0.471497,-0.148356,-1.05034,-0.223831,0.581226,0.232926,0.0849782,-0.410878,-0.163686,-0.389421,0.181096,-0.656712,-1.00369,0.04385,0.904594,0.105738,0.151006,0.310743,-0.80708,-0.342511,0.0479596,-0.605472,0.741654,-0.724567,0.367017,-0.452983,-0.10218,0.83686,0.144125,0.244019,-0.404625,0.870769,0.0231879,0.929343,0.58893,-0.763042,-0.97573,0.601426,0.739077,-0.899453,0.924122,0.584347,-0.011848,0.0590899,0.951969,0.348482,0.335691,0.647697,1.01124,0.0298182,-1.01016,0.566839,0.213261,0.912237,-0.0696788,0.974944,-0.129014,0.100526,-0.404382,0.877997,-0.840081,-0.374503,
