MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
-47.83333333,11.33333333,5.611859107,-3.5,5.198311275,-1.698311275,0.75056111,0.467651861,0,-1,-1
16.16666667,-5.166666667,-7.850289394,-11.5,7.072275174,4.427724826,-1.3693855,0.355735079,1,0,-1
30,-21,-11.508566,-17,2.889676041,14.11032396,-0.401886271,0.421184932,0,1,-1
102.3333333,-80.33333333,-8.185760717,-14.5,2.073532982,12.42646702,-1.468686929,0.390258398,1,1,-1
1.333333333,14.16666667,-27.70113811,-18,2.324295712,15.67570429,0.148765411,0.424164351,0,0,-1
28.66666667,-16.66666667,13.95313148,28.25,8.170602309,-36.42060231,1.92792777,0.636980991,-1,0,-1
-17.83333333,7.333333333,48.45203251,-1,5.504787692,-4.504787692,0.0067268,0.707089986,-1,-1,-1
62.66666667,-34.16666667,-24.73610147,-14,4.971433801,9.028566199,-0.706004594,0.156788029,1,1,-1
20.5,-6.5,5.692594877,-17.5,5.395085494,12.10491451,-2.718297446,0.344937068,1,0,-1
69.66666667,-28.66666667,-60.86855136,-13,2.358856909,10.64114309,-0.693167319,0.329313659,1,1,-1
33.33333333,-7.833333333,-16.54001471,-13.5,5.619093891,7.880906109,-1.547930227,0.090638092,1,1,-1
144,-56.5,113.3555853,-16.5,4.41775173,12.08224827,-1.097705974,0.70483551,-1,1,-1
-0.5,6,9.778946251,-2,4.009365207,-2.009365207,0.493460919,0.510336703,0,0,-1
48,-10.5,-22.08215216,-26.5,7.33054535,19.16945465,-1.459845217,0.25203474,1,1,-1
-21.83333333,-2.666666667,-2.153201183,-18.75,2.700825683,16.04917432,-1.976791449,0.383351108,1,0,-1
50,-9,11.83427511,-24.5,4.831484964,19.66851504,-0.270768344,0.465591244,0,1,-1
59.33333333,-36.33333333,-175.7397869,53.75,3.755067974,-57.50506797,-0.613182437,0.383316783,1,0,-1
69,-29,1.79738003,-14,2.559069148,11.44093085,-1.286980478,0.470475781,0,1,-1
-92,109.5,29.64566596,-9,3.276585407,5.723414593,-0.217135389,0.618587773,-1,-1,-1
38,-23,-11.62297259,-7.25,9.517929273,-2.267929273,-1.365088692,0.35744301,1,1,-1
88.83333333,-55.33333333,-54.05242186,-28.75,5.578184401,23.1718156,-0.51490314,0.304242211,1,1,-1
27,3.5,-3.989476069,-17.5,0.82385938,16.67614062,-1.366293605,0.482036559,0,1,-1
73.5,-17.5,-21.24959274,-25.25,3.397985261,21.85201474,-0.806837581,0.318586267,1,1,-1
-39.66666667,-4.333333333,-57.61752826,-39.75,4.502841532,35.24715847,-0.595039239,0.141754239,1,0,-1
20,-7.5,18.69247329,-5,4.21102992,0.78897008,0.105527326,0.620036135,-1,0,-1
-7.833333333,-6.666666667,29.61386624,36,6.259512325,-42.25951233,1.833380894,0.750875717,-1,0,-1
39.83333333,-19.83333333,-16.3718766,-18.5,1.941049655,16.55895034,-1.626961575,0.435532201,0,1,-1
21.16666667,-2.666666667,62.22248985,-26.5,-0.103265353,26.60326535,-0.849650468,0.553302219,0,0,-1
-124,91.5,130.3176228,-17.25,0.592982828,16.65701717,-1.235232366,0.535774468,0,0,-1
9.333333333,-11.83333333,13.40270303,-17.25,7.095325133,10.15467487,-1.116042288,0.486955838,0,0,-1
-78,69.5,252.4919412,4.75,1.692562827,-6.442562827,-0.327505069,0.920254786,-1,-1,-1
-56.33333333,-36.16666667,-25.8983033,-12.75,0.988387576,11.76161242,-1.113227015,0.31624394,1,0,-1
-15.5,25,13.69333765,-21.5,2.151060734,19.34893927,-1.739006354,0.4731208,0,0,-1
-80.83333333,44.33333333,-40.69319696,-35.25,4.443099156,30.80690084,-1.221445272,0.201451685,1,0,-1
0,-23.5,139.7762803,-4,1.584542008,2.415457992,0.221889339,0.764015823,-1,0,-1
7.5,15,179.1540173,-35.5,3.710781565,31.78921844,-0.817904927,0.742415948,-1,0,-1
38.33333333,-7.333333333,-24.55110638,-35.75,7.967177587,27.78282241,-1.771402825,0.281019436,1,0,-1
-80.66666667,45.66666667,-2.428514425,-18.5,4.59640109,13.90359891,-1.548168374,0.404222957,0,-1,-1
20,-10,26.31951787,-8.5,1.738199999,6.761800001,0.308497343,0.594548611,0,1,-1
20.16666667,-8.166666667,-20.67300522,-22,6.501299157,15.49870084,-1.007670513,0.266178132,1,0,-1
121.6666667,-92.66666667,-46.29028667,-8,7.824522202,0.175477798,-0.800585241,0.405313933,0,1,-1
87.5,-70,13.89460481,-1.75,5.114833122,-3.364833122,0.800401518,0.480879176,0,1,-1
22.83333333,1.166666667,-22.0626364,-24.5,4.553491473,19.94650853,-1.59541292,0.282128962,1,0,-1
33.5,-15,-7.168579749,-7.5,5.255406318,2.244593682,-1.331380153,0.349996038,1,1,-1
-76.66666667,21.66666667,181.1038254,-28,4.331304812,23.66869519,-0.232668212,0.785427338,-1,0,-1
69.5,-71,1.629180427,1.5,4.457819208,-5.957819208,1.364330925,0.492863258,0,1,-1
19.66666667,-1.666666667,25.59427416,-14,5.729006428,8.270993572,-0.201308469,0.521298868,0,1,-1
-95.83333333,48.33333333,151.1964934,159.75,5.426935927,-165.1769359,0.654884743,0.815291756,-1,0,-1
35.33333333,-46.33333333,-11.47647571,-10.5,2.912808049,7.587191951,-1.055647291,0.32970964,1,1,-1
109.5,-71,26.27189135,18.5,5.852864637,-24.35286464,1.274468934,0.558527183,0,1,-1
57.5,-26,-22.14974653,-16.5,2.75898512,13.74101488,-1.292983201,0.319451802,1,1,-1
15.16666667,-0.666666667,15.7668444,-5.5,5.054309609,0.445690391,0.339320489,0.58570453,0,1,-1
66.16666667,-24.66666667,-19.49134525,5.25,1.691845309,-6.941845309,0.223220987,0.272872565,1,1,-1
39.16666667,-14.16666667,-37.47676191,-29.75,3.582146877,26.16785312,-1.908929281,0.420131987,0,0,-1
33.16666667,-41.66666667,64.90182651,-1.5,0.027290987,1.472709013,-0.378160257,0.444839721,0,1,-1
-11.83333333,-2.666666667,-60.55326089,-23.25,0.425904825,22.82409518,-0.151964627,0.772751929,-1,0,-1
5.833333333,-0.833333333,-19.15020133,-5.25,2.477290746,2.772709254,0.938629559,0.431287829,0,0,-1
87,-61,-28.33075086,-6.25,3.581756369,2.668243631,-0.313265145,0.409743145,0,1,-1
-46.66666667,-30.33333333,26.5985619,-18.75,3.629268111,15.12073189,-1.310518943,0.482870565,0,0,-1
47.83333333,-29.33333333,-31.4801867,-30.25,5.106914719,25.14308528,-0.320181433,0.184641155,1,0,-1
36,-10,-19.29204535,-27.75,8.013841954,19.73615805,-1.972436107,0.203610504,1,0,-1
-40.16666667,24.16666667,-18.73430111,-9.25,5.390454227,3.859545773,-0.919834178,0.323905999,1,0,-1
48.83333333,-25.33333333,-33.62092732,-11,4.258317331,6.741682669,-0.0428419,0.258181268,1,1,-1
-9.5,15,30.64708893,-4.75,5.440548603,-0.690548603,0.116402931,0.69249985,-1,0,-1
-55.5,51,-44.04830847,-0.5,-1.456602063,1.956602063,-0.012472983,0.456511861,0,0,-1
15.5,-20.5,56.76516202,-24.25,4.315057484,19.93494252,-0.22671659,0.586328043,0,0,-1
