weight of input layer
0th node's weight,-0.274013,-0.029523,-0.993747,0.622871,0.049987,0.223649,0.426194,-0.171233,0.809579,0.827132,-0.55805,-0.814514,-0.472372,-0.175386,0.946972,-0.7447,-0.687335,0.609832,-0.292315,-0.0945261,-0.778691,0.0861516,0.829853,0.213304,0.631357,0.131939,0.258873,-0.71056,0.618877,0.400712,0.502437,0.700648,0.559711,0.235551,0.860375,0.72648,-0.227238,0.228605,-0.494682,-0.153771,0.948557,-0.419574,0.516424,0.435933,0.607711,0.742965,0.316244,-0.698573,-0.715567,-0.536544,0.174507,0.195334,-0.210833,1.01462,0.670985,0.426851,-0.987023,-0.862215,0.620879,-0.0585037,0.605614,-0.288701,-0.253938,-1.0089,0.998766,-0.31181,0.0681092,0.493558,-0.857464,-0.017013,-0.76994,-0.103584,-0.298706,-0.936196,0.811684,0.81936,-0.247127,-0.425291,0.476635,0.789417,-0.869151,-0.857885,0.514783,-0.584586,-0.538818,-0.631385,-0.912733,-0.607212,0.517663,-0.909463,-0.821306,0.0539638,0.62017,-0.163834,-0.37719,0.643885,-0.455455,-0.613556,-0.547064,0.159055,
1th node's weight,0.340518,-0.0797218,0.74853,0.945015,0.203066,0.238919,0.455728,-0.700056,-0.802444,0.960824,0.511939,-0.960839,0.845474,-0.71914,0.528706,-0.829453,-0.865607,-0.63695,0.885763,-0.636535,-0.754407,0.712885,0.678601,-0.878593,-0.503894,0.992971,0.160721,-0.497859,-0.0317265,0.135973,0.62802,0.577827,-0.79484,0.691327,-0.271532,0.786983,0.644373,-0.286913,0.637878,0.830964,-0.488424,-0.268935,-0.126117,0.073901,0.611015,0.854194,0.399461,-0.681541,0.440512,-0.037424,1.10851,-0.839558,0.155821,0.342775,0.339969,0.117222,-0.469178,-0.239068,-0.155278,-0.865211,-0.997485,0.572624,0.759067,-0.21314,0.151576,-6.17815e-05,-0.709739,0.954734,-0.862953,-0.503179,0.274593,0.311572,0.51404,-0.271774,0.857254,0.754581,-0.531963,0.249554,-0.345561,0.00310492,0.402972,0.200704,0.494403,0.532336,0.213659,-0.727145,0.374435,-0.438558,-0.256037,-0.458776,-0.905255,0.826872,0.68286,0.90558,0.558854,0.611636,-0.458615,-1.04426,-0.34142,-0.849684,
2th node's weight,0.314916,-0.00395008,-0.222711,-0.412355,0.630068,0.70277,-0.0175563,-0.925543,-0.319226,0.361039,0.556335,-0.306921,0.784216,0.210076,0.679425,-0.348773,0.573723,0.358931,-0.16642,-0.422626,0.101055,0.74098,0.78732,-0.303776,-0.316595,0.336483,0.744089,0.418409,-0.659434,-0.611328,0.0126217,-0.460409,-0.906575,-0.071689,0.699374,0.75842,0.575295,-1.06996,-0.816579,-0.401221,0.572121,0.236351,-0.148201,0.424809,0.00740735,0.189139,-0.0414435,0.0270167,0.288054,-0.700005,0.674283,0.626158,-0.129621,0.95072,-0.337297,-0.213414,0.388011,0.629666,-0.503355,-0.952349,0.447817,-0.253601,-1.07365,-0.796468,0.824201,0.21231,-0.919172,-0.693471,0.00436399,0.376665,0.395421,0.486545,-0.569332,-0.866758,0.450118,-0.295768,-0.189883,0.756741,0.558998,0.133489,0.954378,0.396643,0.0198111,0.00043282,-0.519769,-0.652845,-0.263771,-0.0651609,0.503706,0.487853,-0.788624,0.0278087,-0.237729,0.505381,-0.684951,0.0132995,-0.00503217,0.134086,-0.766194,-0.017083,
3th node's weight,-0.911483,0.127382,-0.329057,-0.62708,0.455584,-0.59339,0.346664,-0.715769,0.0981285,0.883549,-0.836716,0.0911585,0.555639,-0.453514,0.112956,-0.735077,0.25788,0.720865,0.922601,-0.379736,-0.0832102,0.771606,0.0837902,-0.428613,0.731968,-0.269406,-0.382698,-0.782337,-0.83918,-0.409121,-0.490121,-0.0186652,-0.223445,0.248217,0.359861,0.185591,0.169839,-0.0285543,-0.0612156,0.950776,0.533014,0.761338,0.965045,-0.450397,0.024014,0.106646,-0.840562,-0.0347655,-0.0341288,-0.178824,-0.0320408,-0.880073,0.580384,0.370398,-0.491693,-0.58085,0.33191,-0.395144,0.713463,-0.0188222,-0.406813,-0.887902,-0.085793,-0.355339,0.398553,0.00404475,0.696235,0.187952,0.192802,0.321012,-0.504785,0.147853,0.782794,-0.697386,0.596681,0.39847,0.479265,0.874949,0.822732,0.143429,-0.055262,0.634765,-0.179717,0.937097,0.931902,0.202261,-0.540489,-0.81456,0.881942,-0.423049,-0.391393,0.33104,-0.0236494,-0.292074,-0.0514051,0.903374,0.00775575,0.847087,0.805588,-0.401979,
4th node's weight,0.558611,-0.498496,-0.742884,-0.240561,-0.668282,0.850026,0.00624454,0.968863,-0.95886,-0.28707,0.64501,-0.0774607,0.244261,-0.69718,0.703811,-0.707412,0.19713,0.616751,-0.201729,-0.855833,-0.728247,-0.0306925,0.672693,-0.227891,0.0798464,0.535513,-0.409898,-0.234987,1.00592,-0.501393,0.507644,-0.140686,0.167616,0.0527469,-0.577835,0.268534,0.632327,-0.579594,0.319518,0.0299603,-0.974703,0.81298,-0.200233,-0.870583,-1.02151,0.49456,0.39256,0.194493,0.255742,-0.464294,0.664696,-0.342877,-0.599228,-0.383653,-0.397729,0.58183,-0.0410786,-0.242735,0.399446,-0.658388,0.320191,-0.849223,-0.0991581,0.188122,-0.197342,0.14844,-0.855763,0.770713,-0.655646,0.631154,-0.329196,0.589361,0.366742,0.795906,-0.722599,0.968143,0.527854,0.344063,-0.787165,0.922704,0.248766,0.0759298,0.274705,-0.0602185,-0.754821,-0.824187,0.163478,-0.668305,0.311457,0.895246,0.915469,0.638762,0.742349,-0.873063,0.575214,-0.140815,0.499623,-0.0795278,-0.316012,-0.0923198,
5th node's weight,-0.287607,-0.355192,-0.161884,-0.33712,0.725375,-0.272008,0.827104,0.0112555,0.129598,-0.66347,0.167571,0.237147,0.615049,0.5022,0.726285,0.507454,0.666575,0.57373,0.759216,0.907968,-0.0469684,0.566594,0.44691,0.505021,0.052515,-0.451165,-0.00409845,-0.322838,0.130214,-0.367009,0.00904288,-0.643488,-0.891408,-0.104028,-0.629963,0.0107459,0.682187,0.25665,0.899418,0.993525,0.800706,-0.203937,-0.21026,0.24618,0.491093,0.741654,0.558938,-0.166137,0.146666,-0.595734,-0.790455,0.93612,-0.463332,-0.898123,0.538033,-0.327812,0.409288,-0.438367,0.364956,1.03557,0.224168,0.300249,-0.808607,-0.21321,0.59314,0.715267,0.967324,-0.157514,0.0141577,-0.298505,0.7584,0.114377,0.923205,-0.108704,-1.04283,-0.0511602,-0.879023,-0.209984,0.22609,0.639636,-0.444198,-0.600233,-0.0751822,0.0687182,-0.964205,-0.217488,-0.0532907,0.414252,0.112195,0.837835,0.218682,-0.185117,-0.816145,-0.267433,-0.536496,-0.621498,-0.560991,-0.282614,0.110244,0.305728,
6th node's weight,-0.533321,0.787831,0.753517,0.588136,0.244347,0.0922336,0.80005,0.46739,0.533172,-0.734542,0.0230195,-0.967306,0.800916,0.0321805,0.652286,0.200442,-0.257733,0.0345791,0.510366,-0.660076,0.911935,0.341316,0.657681,-0.547104,0.21461,0.770454,-0.635886,0.97405,0.179656,0.274337,0.779756,0.668927,0.836499,0.78533,0.759947,-0.271623,-0.444086,-0.318413,0.0201281,0.966702,-0.327189,0.764855,-0.200792,0.586937,-0.0367142,-0.403827,-0.251468,-0.353413,-0.993062,0.583167,-0.354316,-0.229215,0.350136,-0.853536,-0.0910257,-0.639296,0.16385,-0.617631,0.0638059,0.464212,0.717898,-0.141162,0.0448542,-0.904131,0.684956,0.986473,-0.86879,0.814701,0.310925,0.479651,-0.176288,0.639091,0.919418,0.195091,0.439658,-0.926601,-0.35877,-0.049091,-0.0116971,-0.340481,0.916065,-0.305918,-0.125952,0.688977,0.426215,-0.282581,-0.433026,0.0974303,-0.00649485,0.0170432,0.470472,0.588331,-0.662001,0.340238,-0.683889,0.37189,-0.725503,0.425794,-0.199504,-0.822344,
7th node's weight,0.230928,-0.245639,0.562367,-0.698017,0.326278,-0.0712257,0.811847,-0.166645,0.817231,0.848012,-1.03159,-0.0318404,-0.902965,0.623619,0.152429,-0.517896,-0.345842,-0.368309,0.605418,0.860109,0.177033,-0.62491,1.04841,0.870082,-0.315125,-0.0452891,-0.438016,0.306788,0.65813,0.879673,0.0832013,-0.184439,0.479909,-0.784302,-0.704983,0.625877,0.166899,0.381763,-0.878546,-0.577227,-0.320517,-0.111918,0.0470514,-0.142117,0.103621,-0.290826,0.39053,-0.223451,-0.140605,-0.287433,0.431771,0.134095,-0.840805,0.688659,-0.410008,0.868108,0.575862,-0.389002,-0.773761,0.743216,0.702934,0.262914,0.860752,0.761341,0.740903,-0.629741,-0.485534,0.0778135,0.549918,-0.877146,0.359888,-0.176468,0.697377,-0.131387,-0.553827,-0.833239,-0.207207,0.971075,-0.545392,-0.685155,-0.980867,-0.0268485,-0.0588656,-0.00469509,-0.79801,-0.912931,0.349316,0.557318,0.6443,-0.547878,-0.713154,-0.212214,-0.998854,0.459194,0.856385,-0.326392,-0.598506,-0.815179,0.58626,0.109616,
8th node's weight,-0.476572,0.36947,-0.324292,-0.499167,-0.706792,-0.461692,-0.708401,-0.937997,-0.725474,-0.355727,-0.111582,0.229874,-0.267022,0.441917,0.41187,-0.497322,0.0131155,0.752483,0.654782,0.0739506,0.342894,-0.260621,0.434464,-0.919161,0.454353,0.360508,-0.255023,0.807464,0.210731,-0.233925,-0.565533,-0.744072,0.106481,-0.441922,0.44126,0.87255,0.244742,0.845044,0.343578,-0.697626,0.70675,0.455906,-0.142438,0.760677,0.0363417,-0.390062,-0.595376,-0.862615,-0.900239,0.333583,-0.838245,-0.641035,-0.952026,-0.187637,-0.562624,0.565703,-0.0280279,0.0161511,0.601275,0.932329,0.379832,-0.913799,-0.441723,-0.254016,-0.124827,-0.723123,-0.160328,-0.61363,-0.498953,-0.241184,0.875249,0.372826,0.4971,0.0124978,-0.161523,0.609687,-0.336554,-0.39405,-0.161881,0.210091,0.277792,0.057633,0.684032,-0.455765,-0.619365,-0.475577,-0.716922,0.317686,0.175493,0.247433,0.266899,-0.498483,-0.249963,-0.312927,-0.560974,0.850699,0.640564,-0.885779,0.148141,-0.708501,
9th node's weight,0.886591,-0.804724,-0.64954,-0.0878413,0.985479,0.00295331,0.218602,-0.291133,0.567135,-0.28302,-0.447886,-0.709215,0.989267,-0.129572,-0.433009,-0.727435,0.264337,0.751059,0.0362291,-0.128935,0.00801129,-0.982742,0.367831,-0.494238,0.677996,-0.489914,0.774175,0.452091,-0.361409,-0.257735,-0.279583,0.674634,-0.806444,-0.937311,0.523495,0.443289,-0.00424748,0.0394524,-0.33409,-0.624597,-0.325916,0.991511,-0.947888,-0.453714,-0.202961,-1.07157,0.0578677,-0.438576,-0.717866,-0.789071,-0.664257,0.00114811,0.374691,0.396615,0.525464,-0.491911,-0.639353,0.914935,0.787774,-0.766788,0.899868,-0.519964,-0.72929,0.254728,-0.754918,-0.0552497,-0.464072,0.815335,0.82987,0.684184,0.700872,0.653353,0.308199,0.395403,-0.935546,0.583598,-0.526236,0.742895,0.575614,0.324168,0.950131,0.906018,0.381023,-0.755865,-0.049934,0.00863689,0.795977,0.00858448,-0.395945,-0.655829,0.109033,-0.276409,0.144867,-0.870136,-0.403583,0.469715,-0.638897,0.745047,0.931692,0.231482,
