MA_diff1,MA_diff2,MACD,MACD_RATIO,MACD_TSRANK,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
8.666666667000001,-0.666666667,-0.79004643,1.171505177,0.666666667,-1.0,2.817304423,-1.8173044230000002,-0.741768834,0.42881745299999996,0,1,-1
-4.666666667,9.166666667000001,1.898828898,0.959504595,0.333333333,-0.5,5.057565242,-4.557565242,0.0,0.667052442,-1,-1,-1
-15.0,5.0,2.82017798,1.325063485,0.8,2.5,6.439183131,-8.939183131,1.546409902,0.666763194,-1,-1,-1
-38.5,-2.0,5.304765688,1.936312253,1.0,9.0,8.245089556,-17.24508956,2.406579727,0.777564424,-1,-1,-1
-33.5,-9.5,6.59263622,1.798335959,0.933333333,9.25,6.61251963,-15.86251963,1.478313535,0.700388221,-1,-1,-1
34.83333333,-14.83333333,1.9424762530000002,0.523327843,0.066666667,-7.5,6.991468891,0.508531109,-0.8640831840000001,0.36324125,1,1,-1
15.33333333,-10.83333333,0.071923843,0.021492927000000002,0.066666667,-14.25,7.438212687999999,6.811787312000001,-0.505986306,0.449920056,0,1,-1
24.33333333,-9.333333332999999,-1.992718915,-0.83593633,0.066666667,-17.25,7.408842865,9.841157135,-0.174314792,0.43050097600000004,0,1,-1
13.83333333,-6.333333333,-2.590456473,-3.218869288,0.066666667,-7.0,6.322647911000001,0.6773520890000001,0.079992305,0.481657506,0,1,-1
4.333333333,0.666666667,-1.4415229369999998,0.6752170009999999,0.333333333,2.75,4.302961065,-7.052961065,0.568626649,0.5023220970000001,0,0,-1
-10.33333333,0.333333333,0.15677132800000002,-0.098880805,0.2,4.5,4.225758737,-8.725758737,0.197955125,0.5406717870000001,0,-1,-1
-7.166666667,-0.833333333,-0.132225286,-1.492257486,0.066666667,0.0,4.159193505,-4.159193505,1.0350983390000001,0.333621248,1,-1,-1
6.0,-1.0,4.356501061,1.23818706,1.0,2.5,7.38502636,-9.88502636,0.6977567929999999,0.7499194159999999,-1,0,-1
-4.0,0.0,5.565875435,1.3776071559999998,1.0,4.5,7.623507337,-12.12350734,1.492632327,0.8122831709999999,-1,0,-1
-0.666666667,4.666666667,6.729331784,1.095944243,0.26666666699999997,0.0,4.885444145,-4.885444145,1.07938e-16,0.654310672,-1,0,-1
-7.333333333,-0.666666667,6.934962798,0.965363415,0.066666667,0.5,4.223805561,-4.723805561,-0.389108384,0.6568618310000001,-1,-1,-1
5.5,0.0,2.2483466919999997,1.213895045,1.0,1.0,6.006014839,-7.006014839,0.131761569,0.666881167,-1,0,-1
-8.333333332999999,0.333333333,5.217628913,1.0245141759999998,0.066666667,0.0,4.161393813,-4.161393813,-0.741768834,0.7502506309999999,-1,-1,-1
69.0,-9.5,-0.6666361129999999,1.187609365,0.7333333329999999,0.0,2.6205761119999997,-2.6205761119999997,0.0,0.333618295,1,1,-1
21.16666667,1.8333333330000001,3.503704281,15.81499993,1.0,10.5,9.705669692,-20.20566969,3.16227766,0.8520135740000001,-1,0,-1
-0.166666667,5.666666667,8.52600853,4.202159818,0.8666666670000001,20.25,8.95707717,-29.20707717,1.9413032909999999,0.941039958,-1,0,-1
-15.5,6.5,13.56028099,2.791444682,0.8,25.5,7.254809934,-32.75480993,1.254028369,0.9471081170000001,-1,0,-1
19.33333333,-10.33333333,5.96764623,0.797742255,0.066666667,-1.25,0.344564738,0.905435262,-1.3577270890000002,0.363818584,1,1,-1
18.33333333,-8.333333332999999,6.657846227,1.019569081,0.8,1.0,-2.164003631,1.164003631,-1.322600143,0.74993483,-1,0,-1
-5.0,5.0,10.91396864,1.107480492,0.7333333329999999,3.0,6.733352626,-9.733352626,-0.38420862899999997,0.766785176,-1,0,-1
-15.66666667,4.666666667,12.15080952,1.164041009,0.8,6.0,6.715291108,-12.71529111,0.09865851699999999,0.794069285,-1,-1,-1
-9.166666667000001,2.666666667,12.38308302,1.120029637,0.7333333329999999,4.0,6.126052577,-10.12605258,0.168728204,0.772110706,-1,-1,-1
-25.0,13.0,-2.449112755,0.885155812,0.066666667,1.0,3.942208238,-4.942208238,-0.013931687,0.333733805,1,-1,-1
-6.333333333,-1.166666667,-6.453084517000001,1.368250995,0.666666667,-3.5,5.686880915,-2.186880915,-0.48638829899999997,0.124974987,1,0,-1
8.166666667000001,-2.166666667,-8.359272081,1.449101403,0.8666666670000001,-6.0,6.061199783999999,-0.06119978400000001,-0.890423897,0.090770928,1,0,-1
9.666666667000001,-0.666666667,-2.965990223,0.935051799,0.666666667,-0.5,0.688994047,-0.188994047,1.000564416,0.400265761,0,1,-1
12.66666667,-3.666666667,-3.1217831539999996,1.09413298,0.6,-2.0,5.336731987,-3.336731987,0.0,0.285894971,1,1,-1
4.666666667,-0.166666667,1.655295695,0.753204656,0.133333333,-1.25,2.941244732,-1.691244732,-1.000564416,0.667016652,-1,1,-1
-10.5,0.0,3.8407115889999996,1.350843384,0.7333333329999999,2.5,5.47103103,-7.97103103,0.322013253,1.0,-1,-1,-1
2.5,-5.0,3.91366258,1.401925785,0.8,3.0,6.0794388370000005,-9.079438837,0.488318828,0.8462135909999999,-1,0,-1
7.666666667,1.8333333330000001,4.219377982,1.055817823,0.26666666699999997,0.25,4.938441599,-5.188441599,-0.745776683,0.6670380370000001,-1,0,-1
-7.5,-1.0,6.675071052000001,1.230238443,0.7333333329999999,3.75,5.336503934,-9.086503934,0.459711264,0.7273221759999999,-1,-1,-1
